username,judul video,text,tanggal publish,clean_comment,comment_no_slang,Sentimen
@Mochito222,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Salfok sama lagunya di menit 4:39 lagu apa yah lupa,2024-09-25T10:30:31Z,salfok sama lagunya di menit 4 39 lagu apa yah lupa,salfok sama lagunya di menit 4 39 lagu apa yah lupa,3
@ResertMeltkeb,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Belon aja kebeli yg 15..udh nongol lg aja yg baru...emm waktu cepet berlalu,2024-09-25T10:13:11Z,belon aja kebeli yg 15 udh nongol lg aja yg baru emm waktu cepet berlalu,belon saja kebeli yang 15 sudah nongol lg saja yang baru emm waktu cepet berlalu,3
@Asteroid-Destroyer-b4h,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Total sama pajak bea cukai jadi berapa woi?,2024-09-25T10:02:59Z,total sama pajak bea cukai jadi berapa woi,total sama psajak bea cukai jadi berapa woi,3
@jovan112-lg3zz,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Bang david pernah giveaway ngasih iPhone ga sih ?,2024-09-25T09:56:56Z,bang david pernah giveaway ngasih iphone ga sih,bang david pernah giveaway ngasih iphone ga sih,3
@NoviaadeliaRiska,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Bang tolong banget saya butuh saran nya bang
Saya kan pakai ip 7 mau up ip di thun 2025 nanti bingung up 14/15 bang, tolong dong saran nya bang🥹🙏🏻ip yang rekomend banget di tahun 2025 14/15",2024-09-25T09:56:39Z,bang tolong banget saya butuh saran nya bang saya kan pakai ip 7 mau up ip di thun 2025 nanti bingung up 14 15 bang tolong dong saran nya bang ip yang rekomend banget di tahun 2025 14 15,bang tolong sekali saya butuh saran nya bang saya kan pakai ip 7 mau up ip di thun 2025 nanti bingung up 14 15 bang tolong dong saran nya bang ip yang rekomend sekali di tahun 2025 14 15,3
@ekabudi9901,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Tetap suka dgn konten iphone walaupun dari dulu belum pernah pakai iphone,2024-09-25T09:09:01Z,tetap suka dgn konten iphone walaupun dari dulu belum pernah pakai iphone,tetap suka dgn konten iphone walaupun dari dulu belum pernah pakai iphone,3
@firmanindrawan4459,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Tombol?,2024-09-25T08:54:23Z,tombol,tombol,2
@tomisembiring,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Nonton doang saldo mah 17rb,2024-09-25T08:50:48Z,nonton doang saldo mah 17rb,nonton saja saldo mah 17rb,3
@bluestories.4389,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Pas di ketok ketok koq gua yang ngerasa takut pas di idupin gak idup yaa... 😅😂,2024-09-25T08:46:22Z,pas di ketok ketok koq gua yang ngerasa takut pas di idupin gak idup yaa,pas di ketok ketok koq saya yang ngerasa tsayat pas di idupin tidak idup yaa,3
@antonvirdajunior7856,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Coba dengerin pas menit 5:12😂,2024-09-25T08:26:58Z,coba dengerin pas menit 5 12,coba dengerin pas menit 5 12,3
@ZakirotulIzzah,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Bang gua beli hp nya,2024-09-25T08:00:21Z,bang gua beli hp nya,bang saya beli hp nya,3
@Teomia05,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Anda Belum tau Huawei mate xt yaitu hp lipat 3,2024-09-25T07:55:42Z,anda belum tau huawei mate xt yaitu hp lipat 3,anda belum tau huawei mate xt yaitu hp lipat 3,3
@Abryan_dzakwan,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"16:19 
😂",2024-09-25T07:46:23Z,16 19,16 19,3
@apekknight6649,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,iphone xr yg trbru 2024 bang,2024-09-25T07:39:44Z,iphone xr yg trbru 2024 bang,iphone xr yang trbru 2024 bang,3
@ferrozyewyaw,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,NUNGGU IPHONE 99 baru beli😅,2024-09-25T07:16:21Z,nunggu iphone 99 baru beli,nunggu iphone 99 baru beli,3
@GetWeldSoon,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Kan ada apple store d batam,2024-09-25T07:11:35Z,kan ada apple store d batam,kan ada apple store d batam,3
@tiktok.4527,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Keren sih, tapi belum tergerak untuk hijrah dari Redmi ke Iphone.... 😂",2024-09-25T07:10:02Z,keren sih tapi belum tergerak untuk hijrah dari redmi ke iphone,keren sih tapi belum tergerak untuk hijrah dari redmi ke iphone,1
@rikariyanti2825,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,gak pernah tertarik dengan yg namanya iphon,2024-09-25T07:01:45Z,gak pernah tertarik dengan yg namanya iphon,tidak pernah tertarik dengan yang namanya iphon,3
@mciwanbee9217,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Haduh bentar lagi peliharaan minta nih,2024-09-25T06:59:12Z,haduh bentar lagi peliharaan minta nih,haduh bentar lagi peliharaan minta nih,3
@SusiSusanti-l8n,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,😭😭,2024-09-25T06:52:45Z,,,3
@arusdimansaid4579,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Maaf mas bro kl hbs anboxing gt hp ny d kmana in ap jual balik gt hehe..slmm,2024-09-25T06:49:00Z,maaf mas bro kl hbs anboxing gt hp ny d kmana in ap jual balik gt hehe slmm,maaf mas bro kl hbs anboxing gt hp ny d kmana in ap jual balik gt hehe slmm,3
@sudirankkoto,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Udah kan bang, skrng pinjam 🫴",2024-09-25T06:41:06Z,udah kan bang skrng pinjam,sudah kan bang skrng pinjam,3
@kenken8321,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"bang, banyak orang luar yg ip16pro nya bermasalah sama touchscreen terutama di sekitar tombol camera control.  tolong dicek bang ip nya.",2024-09-25T06:31:44Z,bang banyak orang luar yg ip16pro nya bermasalah sama touchscreen terutama di sekitar tombol camera control tolong dicek bang ip nya,bang banyak orang luar yang ip16pro nya bermasalah sama touchscreen terutama di sekitar tombol camera control tolong dicek bang ip nya,3
@iyanmuhammad1403,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Bang VIVO V40 lite,2024-09-25T06:24:57Z,bang vivo v40 lite,bang vivo v40 lite,3
@MexiuASMR,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Ketawa nya David ketawa orang kaya,2024-09-25T06:15:27Z,ketawa nya david ketawa orang kaya,ketawa nya david ketawa orang kaya,3
@vascov6577,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Kok jelek bgt kameranya bang,2024-09-25T06:05:46Z,kok jelek bgt kameranya bang,kok jelek sekali kameranya bang,2
@MrSiagian,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Gw bukan konglomerat tapi gw mampu beli iPhone 16 ini. Tapiiii, daripada beli hp dgn harga 20 jutaan, gw lebih suka menambah saham gw di bbca 😊",2024-09-25T06:01:39Z,gw bukan konglomerat tapi gw mampu beli iphone 16 ini tapiiii daripada beli hp dgn harga 20 jutaan gw lebih suka menambah saham gw di bbca,saya bukan konglomerat tapi saya mampu beli iphone 16 ini tapiiii daripada beli hp dgn harga 20 jutaan saya lebih suka menambah saham saya di bbca,1
@aqeela_calista08,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Bang rekomendasi official store resmi hp Oppo Samsung Vivo iPhone dong mau beli HP online tapi takut kena tipu,2024-09-25T05:54:29Z,bang rekomendasi official store resmi hp oppo samsung vivo iphone dong mau beli hp online tapi takut kena tipu,bang rekomendasi official store resmi hp oppo samsung vivo iphone dong mau beli hp online tapi tsayat kena tipu,3
@TryOktoraAkbar,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,ga terasa tahun lalu nontonin david unboxing iphone 15 di bangku taman singapur 😂,2024-09-25T04:51:36Z,ga terasa tahun lalu nontonin david unboxing iphone 15 di bangku taman singapur,ga terasa tahun lalu nontonin david unboxing iphone 15 di bangku taman singapur,3
@wwhawing3gaming113,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Semoga hape iPhone 15 nya bisa di amalkan ke saya dan akan ku jaga sepenuh hati. 🙏,2024-09-25T04:51:09Z,semoga hape iphone 15 nya bisa di amalkan ke saya dan akan ku jaga sepenuh hati,semoga hape iphone 15 nya bisa di amalkan ke saya dan akan ku jaga sepenuh hati,3
@chayatiraschilla1503,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Kapan ko David buat video Apple Watch 10 dong pls,2024-09-25T04:01:10Z,kapan ko david buat video apple watch 10 dong pls,kapan ko david buat video apple watch 10 dong pls,3
@VSID93,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Hasil fotonya agak pucat gasi klo buat muka,2024-09-25T03:56:04Z,hasil fotonya agak pucat gasi klo buat muka,hasil fotonya atidak pucat gasi klo buat muka,3
@desamekarwangi4125,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Setelah liat unboxing ini hp saya yg saya pake skrg samsung s23 ultra serasa mau ganti ip 16 pro,2024-09-25T03:41:25Z,setelah liat unboxing ini hp saya yg saya pake skrg samsung s23 ultra serasa mau ganti ip 16 pro,setelah liat unboxing ini hp saya yang saya pakai skrg samsung s23 ultra serasa mau ganti ip 16 pro,3
@dpolls3188,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Kamera kont🗿,2024-09-25T03:38:32Z,kamera kont,kamera kont,2
@banaacs5753,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Review samsung s24 fe bang,2024-09-25T03:37:55Z,review samsung s24 fe bang,review samsung s24 fe bang,3
@PicoCo_Pluto,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Nonton doang kagak beli😂,2024-09-25T03:01:07Z,nonton doang kagak beli,nonton saja katidak beli,3
@muhammadrafli5521,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,mending IP 13 or 14 bg?,2024-09-25T02:44:49Z,mending ip 13 or 14 bg,mending ip 13 or 14 bg,3
@Pentium1.,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Cuma 1-5% iphone user yang make semua fiturnya iphone. 95% Lainnya cuma buat mirror selfie di wc 😂,2024-09-25T02:32:31Z,cuma 1 5 iphone user yang make semua fiturnya iphone 95 lainnya cuma buat mirror selfie di wc,hanya 1 5 iphone user yang make semua fiturnya iphone 95 lainnya hanya buat mirror selfie di wc,3
@RockatHome,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Bikin vidio comperasi ny dnk bang sama iphone 13 yg lbh wort it,2024-09-25T01:52:02Z,bikin vidio comperasi ny dnk bang sama iphone 13 yg lbh wort it,bikin vidio comperasi ny dnk bang sama iphone 13 yang lbh wort it,3
@AfifaFiaa,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Knp hasil fotonya blur begitu? Harus nya lebih bagus dong dengan harga segitu😢,2024-09-25T01:36:06Z,knp hasil fotonya blur begitu harus nya lebih bagus dong dengan harga segitu,knp hasil fotonya blur begitu harus nya lebih bagus dong dengan harga segitu,2
@imkarrie5221,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,TIM NUNGGU  harga 3 jt DULU. BARU BELI 🤤🤤🤤🤤,2024-09-25T01:32:59Z,tim nunggu harga 3 jt dulu baru beli,tim nunggu harga 3 jt dulu baru beli,3
@imronfaturahman1778,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,16 kali cicilan,2024-09-25T00:57:11Z,16 kali cicilan,16 kali cicilan,3
@tiaatiah01,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Ip 11 aja ga kebeli2 ini udah launching ip 16 😂,2024-09-25T00:47:27Z,ip 11 aja ga kebeli2 ini udah launching ip 16,ip 11 saja ga kebeli2 ini sudah launching ip 16,3
@aditiayoga7600,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Jadi kek Nothing Phone,2024-09-25T00:33:25Z,jadi kek nothing phone,jadi kek nothing phone,2
@kila-children,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,16:09 Mbaknya mungkin salting,2024-09-25T00:19:51Z,16 09 mbaknya mungkin salting,16 09 mbaknya mungkin salting,3
@agil_stgd5947,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Tombol bawah kalau pakai Tripod kepencet ga sih ?,2024-09-24T23:54:09Z,tombol bawah kalau pakai tripod kepencet ga sih,tombol bawah kalau pakai tripod kepencet ga sih,3
@FerryRenaldo,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Ini review iphone 16+ & iphone 16 pro max atau iphone xr & iphone 11 pro? 🤔,2024-09-24T23:44:29Z,ini review iphone 16 iphone 16 pro max atau iphone xr iphone 11 pro,ini review iphone 16 iphone 16 pro max atau iphone xr iphone 11 pro,1
@Ready_Tech,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Kok gabeli di malaysia pid,2024-09-24T23:24:36Z,kok gabeli di malaysia pid,kok gabeli di malaysia pid,3
@imanual5,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"iPhone 16 rilis, tapi kok checkin hotel yg rame ?? 🤔🤔",2024-09-24T23:21:37Z,iphone 16 rilis tapi kok checkin hotel yg rame,iphone 16 rilis tapi kok checkin hotel yang rame,3
@RanggaDanutirtaSatria,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Udah gitu doang?😮,2024-09-24T23:21:17Z,udah gitu doang,sudah gitu saja,3
@idrisonevision407,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,nontn menggunakan hp redmi note 5 pro msih amaaaan🤣🤣🤣🤣🤣,2024-09-24T22:19:28Z,nontn menggunakan hp redmi note 5 pro msih amaaaan,nontn menggunakan hp redmi note 5 pro msih amaaaan,3
@zadiabs,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"saku depan 😂 berisik satu² aku sayang dua² juga sayang kamu tiga² kamu cengeng bgt , yg satu nya lagi penyabar😢😂",2024-09-24T21:25:44Z,saku depan berisik satu aku sayang dua juga sayang kamu tiga kamu cengeng bgt yg satu nya lagi penyabar,ssaya depan berisik satu saya sayang dua juga sayang kamu tiga kamu cengeng sekali yang satu nya lagi penyabar,3
@officialrizkymaulana2199,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Hah 15 pro belum move on ya bang, btw iphone 15 pro kalo udh bosen bisa kali kasih saya 😂",2024-09-24T21:12:26Z,hah 15 pro belum move on ya bang btw iphone 15 pro kalo udh bosen bisa kali kasih saya,hah 15 pro belum move on ya bang btw iphone 15 pro kalo sudah bosen bisa kali kasih saya,3
@Hrryady,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Cuman nonton aja dah,2024-09-24T18:42:12Z,cuman nonton aja dah,hanya nonton saja dah,3
@mohdrus3138,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,La cuma 12mp camera ultra white😅,2024-09-24T18:33:09Z,la cuma 12mp camera ultra white,la hanya 12mp camera ultra white,3
@renaz6197,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Seperti biasa nonton doangg,2024-09-24T18:19:49Z,seperti biasa nonton doangg,seperti biasa nonton sajag,3
@whygdul79,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Gw nonton vidio ini pakai iphone 8g 🗿😢
Kapan kebeli 12series 😴",2024-09-24T18:19:27Z,gw nonton vidio ini pakai iphone 8g kapan kebeli 12series,saya nonton vidio ini pakai iphone 8g kapan kebeli 12series,3
@srisuwarnibintikasno9086,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,MINGGU DEPAN KU AMBILL YG 16 MAX PRO WOOOWWW CANADA 🇨🇦 CASH TAK SAMPAI 2000 DOLAR 💵,2024-09-24T18:02:03Z,minggu depan ku ambill yg 16 max pro wooowww canada cash tak sampai 2000 dolar,minggu depan ku ambill yang 16 max pro wooowww canada cash tak sampai 2000 dolar,3
@iqbalyusupm1464,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,gimana rasanya punya ip?😢,2024-09-24T17:54:20Z,gimana rasanya punya ip,gimana rasanya punya ip,3
@AishiDunit,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"brand lain lagi pada ngembangin ai dll
Iphone lagi fokus bikin fitur ga guna🤣",2024-09-24T17:46:23Z,brand lain lagi pada ngembangin ai dll iphone lagi fokus bikin fitur ga guna,brand lain lagi pada ngembangin ai dll iphone lagi fokus bikin fitur ga guna,3
@HaruchiiiCh.,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"16:11 emang harus di sindir trus sih masa masih 60hz trus ,,, Kalo ga Huawei di jatuhin Amrek udah susah penjualan hp ini 😢",2024-09-24T17:25:07Z,16 11 emang harus di sindir trus sih masa masih 60hz trus kalo ga huawei di jatuhin amrek udah susah penjualan hp ini,16 11 emang harus di sindir trus sih masa masih 60hz trus kalo ga huawei di jatuhin amrek sudah susah penjualan hp ini,3
@hilal_2423,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Worth it ga si, Upgrade dr 15 Promax ke 16 Promax?",2024-09-24T17:23:43Z,worth it ga si upgrade dr 15 promax ke 16 promax,worth it ga si upgrade dr 15 promax ke 16 promax,3
@rhykaz9192,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,udah sampe 16 sampe skrg belum bisa ke beli Iphone mau dari seri rendagnyapun gk bisa😢motor sj susah bayar cicilannya😢,2024-09-24T17:07:20Z,udah sampe 16 sampe skrg belum bisa ke beli iphone mau dari seri rendagnyapun gk bisa motor sj susah bayar cicilannya,sudah sampai 16 sampai skrg belum bisa ke beli iphone mau dari seri rendagnyapun gk bisa motor sj susah bayar cicilannya,2
@URDarling00,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Bang dan temen temen lain ini serius nanya. Aku punya tight budget untuk 15 pro max 256gb atau 16 pro 128gb. Mending ambil mana ya? Dilema banget. Aku mau up dr xr btw. Mohon bantuan nya😭,2024-09-24T16:51:22Z,bang dan temen temen lain ini serius nanya aku punya tight budget untuk 15 pro max 256gb atau 16 pro 128gb mending ambil mana ya dilema banget aku mau up dr xr btw mohon bantuan nya,bang dan temen temen lain ini serius nanya saya punya tight budget untuk 15 pro max 256gb atau 16 pro 128gb mending ambil mana ya dilema sekali saya mau up dr xr btw mohon bantuan nya,3
@ArkaPradipta-y8r,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,L7i😅,2024-09-24T16:37:28Z,l7i,l7i,3
@kamisdepan-y2y,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Bang, itu habis di review bisa kasi ke saya ga sih😂, dari dulu hp saya cuma android wkwkwwk",2024-09-24T16:10:32Z,bang itu habis di review bisa kasi ke saya ga sih dari dulu hp saya cuma android wkwkwwk,bang itu habis di review bisa kasi ke saya ga sih dari dulu hp saya hanya android wkwkwwk,3
@MasiyullUllz,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Absen bang pasukan nonton doang pake hp jadul Oppo a5s ngga bakal bisa beli iPhone 😅,2024-09-24T15:56:44Z,absen bang pasukan nonton doang pake hp jadul oppo a5s ngga bakal bisa beli iphone,absen bang pasukan nonton saja pakai hp jadul oppo a5s ngga bakal bisa beli iphone,3
@ipul9342,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,45 juta😭,2024-09-24T15:54:56Z,45 juta,45 juta,2
@ipul9342,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,SELALU TRENDING iphone,2024-09-24T15:53:25Z,selalu trending iphone,selalu trending iphone,3
@hestirasa4374,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Nonton ini masih pake ip 11 🥹,2024-09-24T15:29:48Z,nonton ini masih pake ip 11,nonton ini masih pakai ip 11,3
@steven658,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,masih aja beli hp gituan,2024-09-24T15:26:23Z,masih aja beli hp gituan,masih saja beli hp gituan,2
@mochammadfahmiali6262,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Nunggu 1 rupiah setara 1 dolar dulu baru beli😅 kapan ya😅,2024-09-24T15:25:57Z,nunggu 1 rupiah setara 1 dolar dulu baru beli kapan ya,nunggu 1 rupiah setara 1 dolar dulu baru beli kapan ya,3
@ramdhansaputra2728,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Lambet,2024-09-24T15:20:19Z,lambet,lambet,3
@masakansimple9294,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Sama harga motor gue NMax😅,2024-09-24T15:07:32Z,sama harga motor gue nmax,sama harga motor saya nmax,2
@mr_venomancer,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"di dusbook dikasi sim eject, tapi di hp nya ga ada slot sim. Wait...",2024-09-24T15:00:44Z,di dusbook dikasi sim eject tapi di hp nya ga ada slot sim wait,di dusbook dikasi sim eject tapi di hp nya ga ada slot sim wait,3
@pangerankicau2664,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Mau beli iphone xr second aja dri dulu kaga kebeli 😢,2024-09-24T14:55:13Z,mau beli iphone xr second aja dri dulu kaga kebeli,mau beli iphone xr second saja dri dulu kaga kebeli,2
@bangaguss8403,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Iphone 15 pro nya di jual gak bang😅,2024-09-24T14:52:16Z,iphone 15 pro nya di jual gak bang,iphone 15 pro nya di jual tidak bang,3
@zulkripto7153,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Gua cuma fokus David nge lag ... 20 sama 25 .. smpe nge lad 😂😂 .. kn udah bner 45 .. bisa bisa nya ngelag 😂😂😂😂,2024-09-24T14:45:42Z,gua cuma fokus david nge lag 20 sama 25 smpe nge lad kn udah bner 45 bisa bisa nya ngelag,saya hanya fokus david nge lag 20 sama 25 smpe nge lad kn sudah bner 45 bisa bisa nya ngelag,3
@zulkarnaenzulka5317,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Kotamobagu hadir bang🎉❤,2024-09-24T14:34:51Z,kotamobagu hadir bang,kotamobagu hadir bang,3
@nandarefancya2648,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Modelnya jadi mundur hp2 lawas kan kimbek😅, pembodohan yg blik",2024-09-24T14:34:48Z,modelnya jadi mundur hp2 lawas kan kimbek pembodohan yg blik,modelnya jadi mundur hp2 lawas kan kimbek pembodohan yang blik,3
@aminfauzan3748,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Nonton pakek hp layar lepas retak, batrai melendung boros, hp harus di chase kalo bisa hidup 😢",2024-09-24T14:29:04Z,nonton pakek hp layar lepas retak batrai melendung boros hp harus di chase kalo bisa hidup,nonton pakaik hp layar lepas retak batrai melendung boros hp harus di chase kalo bisa hidup,3
@lbram4335,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Microphone nya pake apa ya kok suaranya jernih meski di outdoor,2024-09-24T14:28:53Z,microphone nya pake apa ya kok suaranya jernih meski di outdoor,microphone nya pakai apa ya kok suaranya jernih meski di outdoor,3
@pepemitha,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"""Subcribe kalo mau, kalo gak mau ya paling namti muncul"". 12juta subs ya pasti nongol hehehehe.",2024-09-24T14:26:45Z,subcribe kalo mau kalo gak mau ya paling namti muncul 12juta subs ya pasti nongol hehehehe,subcribe kalo mau kalo tidak mau ya paling namti muncul 12juta subs ya pasti nongol hehehehe,3
@natanielbactista7465,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,masuk 22 trending cuy🤩🤩🤩,2024-09-24T14:24:20Z,masuk 22 trending cuy,masuk 22 trending cuy,3
@shacraft5946,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,BANG COBA TES HUAWEI MATE XT,2024-09-24T14:14:53Z,bang coba tes huawei mate xt,bang coba tes huawei mate xt,3
@HAswad-v3i,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,mantap,2024-09-24T14:08:24Z,mantap,mantap,3
@fitriutamisuharto5889,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Tiba” jd galau, 16 pro max apa nunggu 17 pro max yaaa 😮‍💨",2024-09-24T13:57:56Z,tiba jd galau 16 pro max apa nunggu 17 pro max yaaa,tiba jd galau 16 pro max apa nunggu 17 pro max yaaa,3
@RickyAndrean,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,BOSEN,2024-09-24T13:46:10Z,bosen,bosen,3
@SyaikAdilah,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Yaa Allah semogaa aku bisa beli hp kaya gini aminn,2024-09-24T13:34:52Z,yaa allah semogaa aku bisa beli hp kaya gini aminn,yaa allah semogaa saya bisa beli hp kaya gini aminn,3
@pangaksama,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Maaf out of topic, tapi pemilihan musik latar belakangnya bagus. Musiknya mengingatkan saya pada Khruangbin dan Arc De Soleil. Keren. Sukses terus Bang!",2024-09-24T13:00:57Z,maaf out of topic tapi pemilihan musik latar belakangnya bagus musiknya mengingatkan saya pada khruangbin dan arc de soleil keren sukses terus bang,maaf out of topic tapi pemilihan musik latar belakangnya bagus musiknya mengingatkan saya pada khruangbin dan arc de soleil keren sukses terus bang,3
@g3nre,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Di tiktok iphone 16 abis dicerca wkwk..,2024-09-24T12:56:35Z,di tiktok iphone 16 abis dicerca wkwk,di tiktok iphone 16 abis dicerca wkwk,3
@pensemyu31717,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Fanboy apple di komentar ini udah kaya pens ronaldo, anti kritik + duta ekomomi",2024-09-24T12:55:10Z,fanboy apple di komentar ini udah kaya pens ronaldo anti kritik duta ekomomi,fanboy apple di komentar ini sudah kaya pens ronaldo anti kritik duta ekomomi,3
@Handcuk,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,14:00 renyah sekali suaranya😅,2024-09-24T12:51:07Z,14 00 renyah sekali suaranya,14 00 renyah sekali suaranya,3
@baharunbintang9786,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Pelan2 napa bang unboxingxa hp mhal itu😢,2024-09-24T12:45:34Z,pelan2 napa bang unboxingxa hp mhal itu,pelan2 napa bang unboxingxa hp mhal itu,3
@JiDian-p5l,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Aku bersyukurlah 😊. Dan gak nyesel beli hp ini 😊💯💫..walaupun aku belum mencoba beli sungguhan setidaknya bisa liat dulu ❤,2024-09-24T12:30:58Z,aku bersyukurlah dan gak nyesel beli hp ini walaupun aku belum mencoba beli sungguhan setidaknya bisa liat dulu,saya bersyukurlah dan tidak nyesel beli hp ini walaupun saya belum mencoba beli sungguhan setidaknya bisa liat dulu,3
