username,judul video,text,tanggal publish,clean_comment,comment_no_slang,Sentimen,comment_final
@rendiaditia5827,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Bolokir aja aipon udah ngerendahin indonesia,2024-11-05T05:01:33Z,bolokir aja aipon udah ngerendahin indonesia,bolokir saja iphone sudah ngerendahin indonesia,2.0,bolokir saja iphone ngerendahin Indonesia
@sulkputra3085,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Keren sih ini😊,2024-11-05T05:00:10Z,keren sih ini,keren sih ini,1.0,keren sih
@sulthanfirmando,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"bang, reviewnya kapan bang?",2024-11-05T04:55:26Z,bang reviewnya kapan bang,bang reviewnya kapan bang,1.0,bang reviewnya kapan bang
@LembayungSenja_,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,ilegal,2024-11-05T04:44:39Z,ilegal,ilegal,2.0,ilegal
@fahmy.iskndr,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Bang David, Bahas dong ""Soal Iphone 16 dilarang masuk Indonesia""

Like Guys biar diliat bg David🤝🏻",2024-11-05T04:26:58Z,bang david bahas dong soal iphone 16 dilarang masuk indonesia like guys biar diliat bg david,bang david bahas dong soal iphone 16 dilarang masuk indonesia like guys biar diliat bang david,3.0,bang david bahas dong soal iphone 16 dilarang masuk Indonesia like guys biar diliat bang david
@ArtmaRiswanda,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"silahkan sapskreb kalo mau
kalo enggak ya , mungkin bakal muncul 😭
fyp banget gak sih kwkwwkkwkwk",2024-11-05T04:14:03Z,silahkan sapskreb kalo mau kalo enggak ya mungkin bakal muncul fyp banget gak sih kwkwwkkwkwk,silahkan subscribe kalau mau kalau tidak ya mungkin bakal muncul fyp sekali tidak sih kwkwwkkwkwk,3.0,silahkan subscribe kalau mau kalau ya mungkin bakal muncul fyp banget sih kwkwwkkwkwk
@fathirzforevers2731,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Yes...finally iphone 16 gk jadi masuk indonesia karena gk direstuin kominfo 😂,2024-11-05T03:59:50Z,yes finally iphone 16 gk jadi masuk indonesia karena gk direstuin kominfo,yes finally iphone 16 tidak jadi masuk indonesia karena tidak direstuin kominfo,2.0,yes finally iphone 16 masuk Indonesia direstuin kominfo
@kemaswongkito2134,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Aduh bang makin banyak orang yg :jual diri"" ini mah supaya dibilang kelas high class. Apalagi negara lagi susah2nya 😢",2024-11-05T02:50:44Z,aduh bang makin banyak orang yg jual diri ini mah supaya dibilang kelas high class apalagi negara lagi susah2nya,aduh bang makin banyak orang yang jual diri ini mah supaya dibilang kelas high class apalagi negara lagi susah,3.0,aduh bang makin orang jual diri mah supaya dibilang kelas high class apalagi negara susah
@bajaj1112,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Sorry iphone 16 dilarang masuk Indonesia !!!,2024-11-05T00:39:12Z,sorry iphone 16 dilarang masuk indonesia,sorry iphone 16 dilarang masuk indonesia,2.0,sorry iphone 16 dilarang masuk Indonesia
@mimbar3788,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Bye bye,2024-11-05T00:27:11Z,bye bye,bye bye,2.0,bye bye
@MahrudinSahab,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Boikot Apple,2024-11-04T22:47:48Z,boikot apple,boikot apple,2.0,boikot apple
@Xzyndx,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Bg bahasa I-Phone 16 gk rilis bajasa lengkap,2024-11-04T20:06:02Z,bg bahasa i phone 16 gk rilis bajasa lengkap,bang bahasa iphone 16 tidak rilis bahasa lengkap,2.0,bang bahasa iphone 16 rilis bahasa lengkap
@zainalarif6340,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Semoga iphon di blokir permanen di Indonesia... Lagian minta diskon pajak sampai 50tahun.. Kita aja kerja di pajak....,2024-11-04T18:12:35Z,semoga iphon di blokir permanen di indonesia lagian minta diskon pajak sampai 50tahun kita aja kerja di pajak,semoga iphone di blokir permanen di indonesia lagian minta diskon pajak sampai 50 tahun kita aja kerja di pajak,2.0,semoga iphone blokir permanen Indonesia lagian minta diskon pajak sampai 50 tahun aja kerja pajak
@bayuhariyadi8089,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"kesini gara2 rame mau di blokir pemerintah akibat gak mau memenuhi TKDN indonesia, yg bikin sakit hati mau invest tapi gak mau bayar pajak 50thn raksasa teknologi tapi pelitt maunya jualan doang di indonesia investnya di vietnam😂😂😂",2024-11-04T17:15:03Z,kesini gara2 rame mau di blokir pemerintah akibat gak mau memenuhi tkdn indonesia yg bikin sakit hati mau invest tapi gak mau bayar pajak 50thn raksasa teknologi tapi pelitt maunya jualan doang di indonesia investnya di vietnam,kesini karena rame mau di blokir pemerintah akibat tidak mau memenuhi peraturan indonesia yang membuat sakit hati mau invest tapi tidak mau bayar pajak 50 tahun raksasa teknologi tapi pelit mau nya jualan saja di indonesia investnya di vietnam,2.0,kesini rame mau blokir pemerintah akibat mau memenuhi peraturan Indonesia membuat sakit hati mau invest tapi mau bayar pajak 50 tahun raksasa teknologi tapi pelit mau nya jualan doang Indonesia investnya vietnam
@anggazarghan9760,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Wkwkw usb c nya kawas harga 20jt ke atas wkwkwk dibegoin aplle😂,2024-11-04T14:49:28Z,wkwkw usb c nya kawas harga 20jt ke atas wkwkwk dibegoin aplle,wkwkw usb c nya kawas harga 20 juta ke atas wkwkwk dibegoin apple,2.0,wkwkw usb c nya kawas harga 20 juta atas wkwkwk dibegoin apple
@haul_bynura,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Orang kaya mah enak diketok2 g sayang yaa  hahaha,2024-11-04T13:07:21Z,orang kaya mah enak diketok2 g sayang yaa hahaha,orang kaya mah enak diketok tidak sayang yaa hahaha,1.0,orang kaya mah enak diketok sayang yaa hahaha
@albumkenangan90an,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Lucu banget, dlu steve jobs nyindir bb sama nokia kebanyakan tombol.",2024-11-04T12:32:15Z,lucu banget dlu steve jobs nyindir bb sama nokia kebanyakan tombol,lucu sekali dlu steve jobs nyindir blackberry sama nokia kebanyakan tombol,2.0,lucu banget dlu steve jobs nyindir blackberry sama nokia kebanyakan tombol
@Talipancingy4u,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Wah hp ilegal nih.😊,2024-11-04T11:55:07Z,wah hp ilegal nih,wah hp ilegal nih,2.0,wah hp ilegal nih
@moalbejabeja8350,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"BLOKIR BLOKIR,, barang ilegal
yg produsennya meremehkan Indonesia",2024-11-04T11:43:58Z,blokir blokir barang ilegal yg produsennya meremehkan indonesia,blokir blokir barang ilegal yang produsennya meremehkan indonesia,2.0,blokir blokir barang ilegal produsennya meremehkan Indonesia
@sneakersindokop5665,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,sayangnya iphone 16 yg beredar di indonesia ilegal bang karena DPR mau boikot apple,2024-11-04T10:59:22Z,sayangnya iphone 16 yg beredar di indonesia ilegal bang karena dpr mau boikot apple,sayangnya iphone 16 yang beredar di indonesia ilegal bang karena dpr mau boikot apple,2.0,sayangnya iphone 16 beredar Indonesia ilegal bang dpr mau boikot apple
@KaaCH.,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,bang iphone 16 pro max udah keluar sekarang iphone apa yang worth it buat iphone second sama baru,2024-11-04T10:42:51Z,bang iphone 16 pro max udah keluar sekarang iphone apa yang worth it buat iphone second sama baru,bang iphone 16 pro max sudah keluar sekarang iphone apa yang worth it buat iphone second sama baru,1.0,bang iphone 16 pro max keluar sekarang iphone worth it buat iphone second sama baru
@netizenjulids,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Legal selama bayar Pajak ❤,2024-11-04T10:19:23Z,legal selama bayar pajak,legal selama bayar pajak,1.0,legal selama bayar pajak
@mahoganyphoto3352,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Ayo dukung pemerintah biar Apple buka pabrik di Indonesia, siapa tau harganya bisa murah, dan yg terpenting untuk harga diri bangsa Indonesia 😊",2024-11-04T09:50:25Z,ayo dukung pemerintah biar apple buka pabrik di indonesia siapa tau harganya bisa murah dan yg terpenting untuk harga diri bangsa indonesia,ayo dukung pemerintah biar apple buka pabrik di indonesia siapa tau harganya bisa murah dan yang terpenting untuk harga diri bangsa indonesia,1.0,ayo dukung pemerintah biar apple buka pabrik Indonesia tau harganya murah terpenting harga diri bangsa Indonesia
@tobakustikk,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Gua mau beli lima biji,



Dalem mimpi.",2024-11-04T09:26:44Z,gua mau beli lima biji dalem mimpi,saya ingin beli lima buah dalam mimpi,3.0,ingin beli lima buah mimpi
@ahmadjihan2009,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Ohhh ini merek yg kaga mau bayar pajak 50 taun itu yaa...???,2024-11-04T09:16:55Z,ohhh ini merek yg kaga mau bayar pajak 50 taun itu yaa,ohhh ini merek yang kaga mau bayar pajak 50 taun itu yaa,2.0,ohhh merek kaga mau bayar pajak 50 taun yaa
@mamansuparman8065,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Bang review juga dong klo iphone 16 blm bisa di jual di Indonesia karena mau untung nya doang giliran tkdn 40℅ gk mau dan di suruh bikin pabrik di sini minta bebas pajak 50tahun..kasih tau juga masyarakat klo prodak iphone itu mau membodohi negara,2024-11-04T08:51:15Z,bang review juga dong klo iphone 16 blm bisa di jual di indonesia karena mau untung nya doang giliran tkdn 40 gk mau dan di suruh bikin pabrik di sini minta bebas pajak 50tahun kasih tau juga masyarakat klo prodak iphone itu mau membodohi negara,bang review juga dong klo iphone 16 blm bisa di jual di indonesia karena mau untung nya saja giliran 40 tidak mau dan di suruh buat pabrik di sini minta bebas pajak 50 tahun kasih tau juga masyarakat kalau produk iphone itu mau membodohi negara,3.0,bang review dong klo iphone 16 blm jual Indonesia mau untung nya doang giliran 40 mau suruh buat pabrik sini minta bebas pajak 50 tahun kasih tau masyarakat kalau produk iphone mau membodohi negara
@ruslycool,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"David  Masih inget aja sama BLAU yg di pakai emak2 jaman dahulu,, 😀😁🤣",2024-11-04T07:54:10Z,david masih inget aja sama blau yg di pakai emak2 jaman dahulu,david masih inget aja sama blao yang di pakai ibu ibu jaman dahulu,3.0,david inget aja sama blao pakai ibu ibu jaman dahulu
@BudiantoAnto-k9w,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Reviewnya bagus sangat jelas cuma bisa liat walaupun ga ke beli...nuruti jaman ga kelar2 yg beda paling2 kamera aja..yg lainya lebih kurang aja..yg penting masih punya hp masih bisa silaturahmi dg sanak saudara dg sahabat walaupun hp murah..OK,2024-11-04T07:13:47Z,reviewnya bagus sangat jelas cuma bisa liat walaupun ga ke beli nuruti jaman ga kelar2 yg beda paling2 kamera aja yg lainya lebih kurang aja yg penting masih punya hp masih bisa silaturahmi dg sanak saudara dg sahabat walaupun hp murah ok,reviewnya bagus sangat jelas hanya bisa liat walaupun tidak ke beli nuruti jaman tidak selesai selesai yang beda paling kamera saja yang lainya lebih kurang aja yang penting masih punya hp masih bisa silaturahmi dengan saudara dengan sahabat walaupun hp murah ok,1.0,reviewnya bagus sangat jelas cuma liat walaupun beli nuruti jaman selesai selesai beda paling kamera saja lainya kurang aja penting punya hp silaturahmi saudara sahabat walaupun hp murah ok
@garroshhellscream7016,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Lupakanlah seluruh produk asing,jangan di beli lagi
Boikot sampai kiamat iPhone
BOIKOT AYO HABIS2AN SELURUH PRODUK IPHONE,NTAR GUE RAMAIKAN DI MEDSOS2 DENGAN AKUN2 RECEHAN",2024-11-04T06:22:00Z,lupakanlah seluruh produk asing jangan di beli lagi boikot sampai kiamat iphone boikot ayo habis2an seluruh produk iphone ntar gue ramaikan di medsos2 dengan akun2 recehan,lupakanlah seluruh produk asing jangan di beli lagi boikot sampai kiamat iphone boikot ayo habis habisa an seluruh produk iphone nanti saya ramaikan di media sosial dengan recehan,2.0,lupakanlah seluruh produk asing jangan beli boikot sampai kiamat iphone boikot ayo habis habisa an seluruh produk iphone nanti ramaikan media sosial recehan
@derysulaiman,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,sekarang gimana bang kondisi iphonenya? sinyalnya masih ada ga?,2024-11-04T06:06:53Z,sekarang gimana bang kondisi iphonenya sinyalnya masih ada ga,sekarang gimana bang kondisi iphonenya sinyalnya masih ada ga,3.0,sekarang gimana bang kondisi iphonenya sinyalnya ada ga
@iqbalbale1876,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Bang please liat video nya di menit 5.12, apa aku yg salah denger ya",2024-11-04T00:30:56Z,bang please liat video nya di menit 5 12 apa aku yg salah denger ya,bang please liat video nya di menit 5 12 apa saya yang salah denger ya,3.0,bang please liat video nya menit 5 12 salah denger ya
@barmastya,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,iphone 16 itu hp haram di indonesia. Harga diri indonesia di injak oleh iphone. iphone tidak mau kena pajak  selama 50th jika iphone membangun pabrik perakitan di indonesia. Yang bener aja.... Indonesia termasuk pasar terbesarnga iphone. Masuk ga mau bayar pajak. .indonesia ni phone jangan mau enaknya aj phone.😂😂,2024-11-03T23:57:44Z,iphone 16 itu hp haram di indonesia harga diri indonesia di injak oleh iphone iphone tidak mau kena pajak selama 50th jika iphone membangun pabrik perakitan di indonesia yang bener aja indonesia termasuk pasar terbesarnga iphone masuk ga mau bayar pajak indonesia ni phone jangan mau enaknya aj phone,iphone 16 itu hp haram di indonesia harga diri indonesia di injak oleh iphone iphone tidak mau kena pajak selama 50 tahun jika iphone membangun pabrik perakitan di indonesia yang bener saja indonesia termasuk pasar terbesarnya iphone masuk tidak mau bayar pajak indonesia ni iphone jangan mau enaknya saja iphone,2.0,iphone 16 hp haram Indonesia harga diri Indonesia injak iphone iphone mau kena pajak selama 50 tahun jika iphone membangun pabrik perakitan Indonesia bener saja Indonesia termasuk pasar terbesarnya iphone masuk mau bayar pajak Indonesia ni iphone jangan mau enaknya saja iphone
@DaniMd-v2e,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Semuga ip tidak masuk ke Indonesia,2024-11-03T17:05:41Z,semuga ip tidak masuk ke indonesia,semoga iphone tidak masuk ke indonesia,2.0,semoga iphone masuk Indonesia
@Anonim-db4yw,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Dilarang buang,2024-11-03T15:25:51Z,dilarang buang,dilarang buang,2.0,dilarang buang
@nurindah8402,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,By by i phone 16 anda sudab ilegal di Indonesia,2024-11-03T14:19:08Z,by by i phone 16 anda sudab ilegal di indonesia,bye bye iphone 16 anda sudah ilegal di indonesia,2.0,bye bye iphone 16 anda ilegal Indonesia
@masozora4051,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Pendapatnya Dong tentang iPhone 16 dilarang masuk di indonesia 
Karena pihak iphone tidak mau bayar  TKDN ?",2024-11-03T11:46:08Z,pendapatnya dong tentang iphone 16 dilarang masuk di indonesia karena pihak iphone tidak mau bayar tkdn,pendapatnya dong tentang iphone 16 dilarang masuk di indonesia karena pihak iphone tidak mau bayar pajak,3.0,pendapatnya dong iphone 16 dilarang masuk Indonesia pihak iphone mau bayar pajak
@MrTezar90,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,bang bahas ip 16 di banned di indo 🎉,2024-11-03T11:01:04Z,bang bahas ip 16 di banned di indo,bang bahas iphone 16 di banned di indonesia,3.0,bang bahas iphone 16 banned Indonesia
@hidayatvlog1928,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,iPhone 16 di baned Indonesia karena tidak lulus TKDN....jika ada iPhone 16 yang menggunakan bahasa indo Nesia di jamin ilegal,2024-11-03T06:02:25Z,iphone 16 di baned indonesia karena tidak lulus tkdn jika ada iphone 16 yang menggunakan bahasa indo nesia di jamin ilegal,iphone 16 di banned indonesia karena tidak lulus jika ada iphone 16 yang menggunakan bahasa indonesia di jamin ilegal,2.0,iphone 16 banned Indonesia lulus jika ada iphone 16 menggunakan bahasa Indonesia jamin ilegal
@LismanAhmad,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Jastip bisa gl bg,2024-11-03T02:36:37Z,jastip bisa gl bg,jastip bisa tidak bang,2.0,jastip bang
@SenyawaKimia-30,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Bang kalau di bawa ke indo aman ga,kan ini dilarang di indo barang ilegal",2024-11-03T02:33:42Z,bang kalau di bawa ke indo aman ga kan ini dilarang di indo barang ilegal,bang kalau di bawa ke indonesia aman tidak kan ini dilarang di indonesia barang ilegal,3.0,bang kalau bawa Indonesia aman kan dilarang Indonesia barang ilegal
@Ugyaja,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Waduhhh berarti kalau sekarang hpnya Ilegal dong,, karna tidak di ijinin masuk ke indo",2024-11-03T02:10:29Z,waduhhh berarti kalau sekarang hpnya ilegal dong karna tidak di ijinin masuk ke indo,waduhhh berarti kalau sekarang hpnya ilegal dong karna tidak di ijinin masuk ke indonesia,3.0,waduhhh berarti kalau sekarang hpnya ilegal dong karna ijinin masuk Indonesia
@Ricoco12,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Yahaha barang ilegal,2024-11-02T20:32:13Z,yahaha barang ilegal,yahaha barang ilegal,2.0,yahaha barang ilegal
@DewaRendy-i5k,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,ilegal mlh Unboxing😢😢😢😢😢,2024-11-02T15:48:25Z,ilegal mlh unboxing,ilegal malah di unboxing,2.0,ilegal malah unboxing
@akhmadaljufri5721,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"1 bulan lalu nonton bang david, wah-wah bagus ya. 
Akan tetapi sekarang ""iphone 16 ILEGAL"",  hp bodong... 😅😅

Gpp di ilegal kan demi pemasukan APBN.. 😅😅",2024-11-02T12:42:59Z,1 bulan lalu nonton bang david wah wah bagus ya akan tetapi sekarang iphone 16 ilegal hp bodong gpp di ilegal kan demi pemasukan apbn,1 bulan lalu nonton bang david wah wah bagus ya akan tetapi sekarang iphone 16 ilegal hp bodong gpp di ilegal kan demi pemasukan apbn,2.0,1 bulan nonton bang david wah wah bagus ya tetapi sekarang iphone 16 ilegal hp bodong gpp ilegal kan demi pemasukan apbn
@danisetiawn6634,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Ilegal ya bg katanya ip16?,2024-11-02T12:30:00Z,ilegal ya bg katanya ip16,ilegal ya bg katanya ip16,3.0,ilegal ya bg katanya ip16
@RifaOnGaming,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Tim nonton gak punya kuota,2024-11-02T11:56:41Z,tim nonton gak punya kuota,tim nonton gak punya kuota,3.0,tim nonton gak punya kuota
@noerzaman1964,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"sudah ilegal😂😂
sony ericsson jadul tertawa melihat tombol kamera di pinggir",2024-11-02T09:38:25Z,sudah ilegal sony ericsson jadul tertawa melihat tombol kamera di pinggir,sudah ilegal sony ericsson jadul tertawa melihat tombol kamera di pinggir,2.0,ilegal sony ericsson jadul tertawa melihat tombol kamera pinggir
@AtihHeni,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Ga boleh ,
TKDN",2024-11-02T06:03:22Z,ga boleh tkdn,ga boleh tkdn,3.0,ga boleh tkdn
@EkoySenopati,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Tim yang masih 13 pro max 😂😅,2024-11-02T05:28:27Z,tim yang masih 13 pro max,tim yang masih 13 pro max,2.0,tim 13 pro max
@keyaaa00,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,termasuk inter ya?,2024-11-02T03:30:47Z,termasuk inter ya,termasuk inter ya,3.0,termasuk inter ya
@JohanWahyudi-mp7mx,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Susah beredar di Indonesia karena Apple bermasalah dgn pemerintah karena menolak pembangunan pabrik di Indonesia dan mereka minta pembebesan pajak selama 50 tahun.,2024-11-01T12:45:44Z,susah beredar di indonesia karena apple bermasalah dgn pemerintah karena menolak pembangunan pabrik di indonesia dan mereka minta pembebesan pajak selama 50 tahun,susah beredar di indonesia karena apple bermasalah dgn pemerintah karena menolak pembangunan pabrik di indonesia dan mereka minta pembebesan pajak selama 50 tahun,3.0,susah beredar Indonesia apple bermasalah dgn pemerintah menolak pembangunan pabrik Indonesia minta pembebesan pajak selama 50 tahun
@ElaludeFortex-es1mx,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Bang di endors berapa m sama iphone ? Nilai revieww nya plus terus dari awal mula iphone di chanel abang kwkwkw 


Padahal ratenya nih hp jelek loh di luar negri . 

Menang mahal doang .. iphone kapitalis masih ajah dibanggakan .",2024-11-01T11:30:24Z,bang di endors berapa m sama iphone nilai revieww nya plus terus dari awal mula iphone di chanel abang kwkwkw padahal ratenya nih hp jelek loh di luar negri menang mahal doang iphone kapitalis masih ajah dibanggakan,bang di endors berapa milyar sama iphone nilai review nya plus lalu dari awal mula iphone di chanel abang haha padahal ratenya nih hp jelek loh di luar negri menang mahal saja iphone kapitalis masih ajah dibanggakan,2.0,bang endors berapa milyar sama iphone nilai review nya plus awal mula iphone chanel abang haha padahal ratenya nih hp jelek loh luar negri menang mahal doang iphone kapitalis ajah dibanggakan
@FathulAlex-vv5uy,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Kata pemerintah iphone 16 di larang di jual  ya,2024-11-01T11:09:38Z,kata pemerintah iphone 16 di larang di jual ya,kata pemerintah iphone 16 di larang di jual ya,3.0,kata pemerintah iphone 16 larang jual ya
@ramdannurfajar5791,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Ini klo di bwa ke indo apa sinyal aman?,2024-11-01T10:20:56Z,ini klo di bwa ke indo apa sinyal aman,ini kalau di bawa ke indonesia apa sinyal aman,2.0,kalau bawa Indonesia sinyal aman
@ZhaindMawon,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,45 juta 😂 liat aja biasa aja 😅 apa lg fitur baru 😂 android aja udah ada 😅😅,2024-11-01T09:49:34Z,45 juta liat aja biasa aja apa lg fitur baru android aja udah ada,45 juta liat saja biasa aja apa lg fitur baru android aja sudah ada,2.0,45 juta liat saja biasa aja lg fitur baru android aja ada
@mantakuripica4366,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,spill kamera untuk buat video bang ?,2024-11-01T07:21:59Z,spill kamera untuk buat video bang,spill kamera untuk buat video bang,3.0,spill kamera buat video bang
@noname_45566,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Di Indonesia masih ilegal 😂,2024-11-01T06:32:16Z,di indonesia masih ilegal,di indonesia masih ilegal,3.0,Indonesia ilegal
@Hermanida6670,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Awas jgn dibawa masuk Indonesia kalo blm ada ijin, TKDN 40%, kalo bawa kena cukai barang asing n udah lah jgn macem2 tanpa iphone juga sama fungsi tapi Indonesia tetap menyala tidak takut asing..",2024-11-01T05:48:30Z,awas jgn dibawa masuk indonesia kalo blm ada ijin tkdn 40 kalo bawa kena cukai barang asing n udah lah jgn macem2 tanpa iphone juga sama fungsi tapi indonesia tetap menyala tidak takut asing,awas jangan dibawa masuk indonesia kalau belum ada izin 40 kalau bawa kena cukai barang asing dan sudah lah jangan macam macam tanpa iphone juga sama fungsi tapi indonesia tetap menyala tidak takut asing,3.0,awas jangan dibawa masuk Indonesia kalau belum ada izin 40 kalau bawa kena cukai barang asing lah jangan macam macam iphone sama fungsi tapi Indonesia tetap menyala takut asing
@agungbramastha2684,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Apalah dayaku yg hanya punya Samsul s23😢😢😢,2024-11-01T05:12:09Z,apalah dayaku yg hanya punya samsul s23,apalah daya saya yang hanya punya samsung s23,3.0,apalah daya punya samsung s23
@pujilawpujilestari,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,16 promex Rp38.800 di kediri jatim,2024-11-01T04:43:40Z,16 promex rp38 800 di kediri jatim,16 pro max 38  800 di kediri jawa timur,3.0,16 pro max 38 800 kediri jawa timur
@wahyukeprabon6337,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Enak bngt yah orang punya duwit....anak buruh tani cuma bisa ngliatin aja...nasib2....,2024-11-01T04:19:10Z,enak bngt yah orang punya duwit anak buruh tani cuma bisa ngliatin aja nasib2,enak sekali ya orang punya uang anak buruh tani hanya bisa ngeliatin aja,3.0,enak banget ya orang punya uang anak buruh tani cuma ngeliatin aja
